cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
"kwa'1an1=ndu1 ji'4in4 líquido kwe4e2 kwe4e2 kwe4e2 kwa'1an1=ndu1 xi4tu3=ndu2 kwe4nda2 yu3kun2 kwa'1an1=ndu1 sa4-ka3ka3=ndu2 líquido xa'1a4=e2,","▁kwa '1 an 1= ndu 1 ▁ji '4 in 4 ▁lí q uido ▁kwe 4 e 2 ▁kwe 4 e 2 ▁kwe 4 e 2 ▁kwa '1 an 1= ndu 1 ▁xi 4 tu 3= ndu 2 ▁kwe 4 nda 2 ▁yu 3 kun 2 ▁kwa '1 an 1= ndu 1 ▁sa 4- ka 3 ka 3= ndu 2 ▁lí q uido ▁xa '1 a 4= e 2,","▁kwa '1 an 1= ndu 1 ▁ji '4 in 4 ▁lí q uido ▁kwe 4 e 2 ▁kwe 4 e 2 ▁kwe 4 e 2 ▁kwa '1 an 1= ndu 1 ▁xi 4 tu 3= ndu 2 ▁kwe 4 nda 2 ▁yu 3 kun 2 ▁kwa '1 an 1= ndu 1 ▁sa 4- ka 3 ka 3= ndu 2 ▁lí q uido ▁xa '1 a 4= e 2,","kwa'1an1 ndu1ji'4in4líquidokwe4e2kwe4e2kwe4e2kwa'1an1 ndu1xi4tu3 ndu2kwe4nda2yu3kun2kwa'1an1 ndu1sa4ka3ka3 ndu2líquidoxa'1a4 e2,","▁ k w a ' 1 a n 1 = n d u 1 ▁ j i ' 4 i n 4 ▁ l í q u i d o ▁ k w e 4 e 2 ▁ k w e 4 e 2 ▁ k w e 4 e 2 ▁ k w a ' 1 a n 1 = n d u 1 ▁ x i 4 t u 3 = n d u 2 ▁ k w e 4 n d a 2 ▁ y u 3 k u n 2 ▁ k w a ' 1 a n 1 = n d u 1 ▁ s a 4 - k a 3 k a 3 = n d u 2 ▁ l í q u i d o ▁ x a ' 1 a 4 = e 2 ,"
ya1 ña1a4 ko3ndo(3)=a2 a3sa3=ndu2 ji'4in(4)=a2 tan3 xa143 xa3a3 i3ta(2)=e2 ña1a4 tan3 ko3o3 ndi3chi(2)=a2 tan3,▁ya 1 ▁ña 1 a 4 ▁ko 3 ndo (3)= a 2 ▁a 3 sa 3= ndu 2 ▁ji '4 in (4)= a 2 ▁tan 3 ▁xa 143 ▁xa 3 a 3 ▁i 3 ta (2)= e 2 ▁ña 1 a 4 ▁tan 3 ▁ko 3 o 3 ▁ndi 3 chi (2)= a 2 ▁tan 3,▁ya 1 ▁ña 1 a 4 ▁ko 3 ndo (3)= a 2 ▁a 3 sa 3= ndu 2 ▁ji '4 in (4)= a 2 ▁tan 3 ▁xa 143 ▁xa 3 a 3 ▁i 3 ta (2)= e 2 ▁ña 1 a 4 ▁tan 3 ▁ko 3 o 3 ▁ndi 3 chi (2)= a 2 ▁tan 3,ya1ña1a4ko3ndo(3) a2a3sa3 ndu2ji'4in(4) a2tan3xa143xa3a3i3ta(2) e2ña1a4tan3ko3o3ndi3chi(2) a2tan3,▁ y a 1 ▁ ñ a 1 a 4 ▁ k o 3 n d o ( 3 ) = a 2 ▁ a 3 s a 3 = n d u 2 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ t a n 3 ▁ x a 1 4 3 ▁ x a 3 a 3 ▁ i 3 t a ( 2 ) = e 2 ▁ ñ a 1 a 4 ▁ t a n 3 ▁ k o 3 o 3 ▁ n d i 3 c h i ( 2 ) = a 2 ▁ t a n 3
o4ra2 ko3o3 ndi3chi(2)=a2 ña1a4 xa143 ku4-ba'1a3 ndi3chi(2)=a2 nda4tu3=ndu2 ja1 chi4chi13=a2 a1chi1 ndi4 ya1 sa4bi4 ndi4 ba143 i4chi1 ndi3sa4ku4u(4)=a2 sa4bi4 ndi4,▁o 4 ra 2 ▁ko 3 o 3 ▁ndi 3 chi (2)= a 2 ▁ña 1 a 4 ▁xa 143 ▁ku 4- ba '1 a 3 ▁ndi 3 chi (2)= a 2 ▁nda 4 tu 3= ndu 2 ▁ja 1 ▁chi 4 chi 13= a 2 ▁a 1 chi 1 ▁ndi 4 ▁ya 1 ▁sa 4 bi 4 ▁ndi 4 ▁ba 143 ▁i 4 chi 1 ▁ndi 3 sa 4 ku 4 u (4)= a 2 ▁sa 4 bi 4 ▁ndi 4,▁o 4 ra 2 ▁ko 3 o 3 ▁ndi 3 chi (2)= a 2 ▁ña 1 a 4 ▁xa 143 ▁ku 4- ba '1 a 3 ▁ndi 3 chi (2)= a 2 ▁nda 4 tu 3= ndu 2 ▁ja 1 ▁chi 4 chi 1 3= a 2 ▁a 1 chi 1 ▁ndi 4 ▁ya 1 ▁sa 4 bi 4 ▁ndi 4 ▁ba 143 ▁i 4 chi 1 ▁ndi 3 sa 4 ku 4 u (4)= a 2 ▁sa 4 bi 4 ▁ndi 4,o4ra2ko3o3ndi3chi(2) a2ña1a4xa143ku4ba'1a3ndi3chi(2) a2nda4tu3 ndu2ja1chi4chi13 a2a1chi1ndi4ya1sa4bi4ndi4ba143i4chi1ndi3sa4ku4u(4) a2sa4bi4ndi4,▁ o 4 r a 2 ▁ k o 3 o 3 ▁ n d i 3 c h i ( 2 ) = a 2 ▁ ñ a 1 a 4 ▁ x a 1 4 3 ▁ k u 4 - b a ' 1 a 3 ▁ n d i 3 c h i ( 2 ) = a 2 ▁ n d a 4 t u 3 = n d u 2 ▁ j a 1 ▁ c h i 4 c h i 1 3 = a 2 ▁ a 1 c h i 1 ▁ n d i 4 ▁ y a 1 ▁ s a 4 b i 4 ▁ n d i 4 ▁ b a 1 4 3 ▁ i 4 c h i 1 ▁ n d i 3 s a 4 k u 4 u ( 4 ) = a 2 ▁ s a 4 b i 4 ▁ n d i 4
ndi4 i4in4 ka1 ba(3)=e2 kwi4i24 nu14u(3)=a2 tan3 tu'3un(3)=e4 ya1 kan4 a1chi1 ndi4 ji14ni2=o4 sa1a3 a3sa3 sa1bi4 ji'4in(4)=o4 ka4chi2=ndu1 tan3,▁ndi 4 ▁i 4 in 4 ▁ka 1 ▁ba (3)= e 2 ▁kwi 4 i 24 ▁nu 14 u (3)= a 2 ▁tan 3 ▁tu '3 un (3)= e 4 ▁ya 1 ▁kan 4 ▁a 1 chi 1 ▁ndi 4 ▁ji 14 ni 2= o 4 ▁sa 1 a 3 ▁a 3 sa 3 ▁sa 1 bi 4 ▁ji '4 in (4)= o 4 ▁ka 4 chi 2= ndu 1 ▁tan 3,▁ndi 4 ▁i 4 in 4 ▁ka 1 ▁ba (3)= e 2 ▁kwi 4 i 2 4 ▁nu 1 4 u (3)= a 2 ▁tan 3 ▁tu '3 un (3)= e 4 ▁ya 1 ▁kan 4 ▁a 1 chi 1 ▁ndi 4 ▁ji 1 4 ni 2= o 4 ▁sa 1 a 3 ▁a 3 sa 3 ▁sa 1 bi 4 ▁ji '4 in (4)= o 4 ▁ka 4 chi 2= ndu 1 ▁tan 3,ndi4i4in4ka1ba(3) e2kwi4i24nu14u(3) a2tan3tu'3un(3) e4ya1kan4a1chi1ndi4ji14ni2 o4sa1a3a3sa3sa1bi4ji'4in(4) o4ka4chi2 ndu1tan3,▁ n d i 4 ▁ i 4 i n 4 ▁ k a 1 ▁ b a ( 3 ) = e 2 ▁ k w i 4 i 2 4 ▁ n u 1 4 u ( 3 ) = a 2 ▁ t a n 3 ▁ t u ' 3 u n ( 3 ) = e 4 ▁ y a 1 ▁ k a n 4 ▁ a 1 c h i 1 ▁ n d i 4 ▁ j i 1 4 n i 2 = o 4 ▁ s a 1 a 3 ▁ a 3 s a 3 ▁ s a 1 b i 4 ▁ j i ' 4 i n ( 4 ) = o 4 ▁ k a 4 c h i 2 = n d u 1 ▁ t a n 3
"i3kan4 ki'3in3, tu'3un3=ndu(2)=a2 kan4 tan3 ta3nde3e3=ndu(2)=a2 kan4 ki3nda2a2=ndu(1)=a1 kwi4i24 nu14u(3)=a2 tan3 ja143","▁i 3 kan 4 ▁ki '3 in 3, ▁tu '3 un 3= ndu (2)= a 2 ▁kan 4 ▁tan 3 ▁ta 3 nde 3 e 3= ndu (2)= a 2 ▁kan 4 ▁ki 3 nda 2 a 2= ndu (1)= a 1 ▁kwi 4 i 24 ▁nu 14 u (3)= a 2 ▁tan 3 ▁ja 143","▁i 3 kan 4 ▁ki '3 in 3, ▁tu '3 un 3= ndu (2)= a 2 ▁kan 4 ▁tan 3 ▁ta 3 nde 3 e 3= ndu (2)= a 2 ▁kan 4 ▁ki 3 nda 2 a 2= ndu (1)= a 1 ▁kwi 4 i 2 4 ▁nu 1 4 u (3)= a 2 ▁tan 3 ▁ja 143","i3kan4ki'3in3,tu'3un3 ndu(2) a2kan4tan3ta3nde3e3 ndu(2) a2kan4ki3nda2a2 ndu(1) a1kwi4i24nu14u(3) a2tan3ja143","▁ i 3 k a n 4 ▁ k i ' 3 i n 3 , ▁ t u ' 3 u n 3 = n d u ( 2 ) = a 2 ▁ k a n 4 ▁ t a n 3 ▁ t a 3 n d e 3 e 3 = n d u ( 2 ) = a 2 ▁ k a n 4 ▁ k i 3 n d a 2 a 2 = n d u ( 1 ) = a 1 ▁ k w i 4 i 2 4 ▁ n u 1 4 u ( 3 ) = a 2 ▁ t a n 3 ▁ j a 1 4 3"
kwa'1an1 nda1a4 ka4chi2=o4 costalilla ji'4in4=ndu2 tan3 i3kan4 chi3nde3e3=ndu(2)=a2 tan3 su3ku4=ndu2 i3tun4 ja1ta4=e2 tan3 sa3kan4 ndi4 ta'3bi4=ndu(2)=a2 ña1a4.,▁kwa '1 an 1 ▁nda 1 a 4 ▁ka 4 chi 2= o 4 ▁costalilla ▁ji '4 in 4= ndu 2 ▁tan 3 ▁i 3 kan 4 ▁chi 3 nde 3 e 3= ndu (2)= a 2 ▁tan 3 ▁su 3 ku 4= ndu 2 ▁i 3 tun 4 ▁ja 1 ta 4= e 2 ▁tan 3 ▁sa 3 kan 4 ▁ndi 4 ▁ta '3 bi 4= ndu (2)= a 2 ▁ña 1 a 4.,▁kwa '1 an 1 ▁nda 1 a 4 ▁ka 4 chi 2= o 4 ▁cost alill a ▁ji '4 in 4= ndu 2 ▁tan 3 ▁i 3 kan 4 ▁chi 3 nde 3 e 3= ndu (2)= a 2 ▁tan 3 ▁su 3 ku 4= ndu 2 ▁i 3 tun 4 ▁ja 1 ta 4= e 2 ▁tan 3 ▁sa 3 kan 4 ▁ndi 4 ▁ta '3 bi 4= ndu (2)= a 2 ▁ña 1 a 4.,kwa'1an1nda1a4ka4chi2 o4costalillaji'4in4 ndu2tan3i3kan4chi3nde3e3 ndu(2) a2tan3su3ku4 ndu2i3tun4ja1ta4 e2tan3sa3kan4ndi4ta'3bi4 ndu(2) a2ña1a4.,▁ k w a ' 1 a n 1 ▁ n d a 1 a 4 ▁ k a 4 c h i 2 = o 4 ▁ c o s t a l i l l a ▁ j i ' 4 i n 4 = n d u 2 ▁ t a n 3 ▁ i 3 k a n 4 ▁ c h i 3 n d e 3 e 3 = n d u ( 2 ) = a 2 ▁ t a n 3 ▁ s u 3 k u 4 = n d u 2 ▁ i 3 t u n 4 ▁ j a 1 t a 4 = e 2 ▁ t a n 3 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ t a ' 3 b i 4 = n d u ( 2 ) = a 2 ▁ ñ a 1 a 4 .
Ya1 ku4u(4)=a2 ndu3chi4 sa4bi4 ndi4 ta'3bi4=ndu(2)=a2 ndo3o3=ni42 ndu3chi4=a2 ki3xa2a2=ndu1 ji'4in(4)=a2 tan3 nde4e4 na1 si'4i2 be'3e3 tan3,▁Ya 1 ▁ku 4 u (4)= a 2 ▁ndu 3 chi 4 ▁sa 4 bi 4 ▁ndi 4 ▁ta '3 bi 4= ndu (2)= a 2 ▁ndo 3 o 3= ni 42 ▁ndu 3 chi 4= a 2 ▁ki 3 xa 2 a 2= ndu 1 ▁ji '4 in (4)= a 2 ▁tan 3 ▁nde 4 e 4 ▁na 1 ▁si '4 i 2 ▁be '3 e 3 ▁tan 3,▁Ya 1 ▁ku 4 u (4)= a 2 ▁ndu 3 chi 4 ▁sa 4 bi 4 ▁ndi 4 ▁ta '3 bi 4= ndu (2)= a 2 ▁ndo 3 o 3= ni 4 2 ▁ndu 3 chi 4= a 2 ▁ki 3 xa 2 a 2= ndu 1 ▁ji '4 in (4)= a 2 ▁tan 3 ▁nde 4 e 4 ▁na 1 ▁si '4 i 2 ▁be '3 e 3 ▁tan 3,Ya1ku4u(4) a2ndu3chi4sa4bi4ndi4ta'3bi4 ndu(2) a2ndo3o3 ni42ndu3chi4 a2ki3xa2a2 ndu1ji'4in(4) a2tan3nde4e4na1si'4i2be'3e3tan3,▁ Y a 1 ▁ k u 4 u ( 4 ) = a 2 ▁ n d u 3 c h i 4 ▁ s a 4 b i 4 ▁ n d i 4 ▁ t a ' 3 b i 4 = n d u ( 2 ) = a 2 ▁ n d o 3 o 3 = n i 4 2 ▁ n d u 3 c h i 4 = a 2 ▁ k i 3 x a 2 a 2 = n d u 1 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ t a n 3 ▁ n d e 4 e 4 ▁ n a 1 ▁ s i ' 4 i 2 ▁ b e ' 3 e 3 ▁ t a n 3
nda3-ta3ba4 nda3-ta3ba4 ka1=na1 mi'14i4 ji'4in(4)=a2 tan3 sa3kan4 sa4-i1chi1=na(1)=e1 kan4 tan3 sa3kan4 ndi4 i1chi1 ndu3chi4 u1bi1 u1ni1 ki1bi4 i1chi(1)=a1 nda1 ba143 ka4a4 ka(1)=e1 ku1xi3(2)=a2 sa3kan4 ta3xi3 kwa'4a4=na(2)=e2 sa3kan4 ndi4,▁nda 3- ta 3 ba 4 ▁nda 3- ta 3 ba 4 ▁ka 1= na 1 ▁mi '14 i 4 ▁ji '4 in (4)= a 2 ▁tan 3 ▁sa 3 kan 4 ▁sa 4- i 1 chi 1= na (1)= e 1 ▁kan 4 ▁tan 3 ▁sa 3 kan 4 ▁ndi 4 ▁i 1 chi 1 ▁ndu 3 chi 4 ▁u 1 bi 1 ▁u 1 ni 1 ▁ki 1 bi 4 ▁i 1 chi (1)= a 1 ▁nda 1 ▁ba 143 ▁ka 4 a 4 ▁ka (1)= e 1 ▁ku 1 xi 3(2)= a 2 ▁sa 3 kan 4 ▁ta 3 xi 3 ▁kwa '4 a 4= na (2)= e 2 ▁sa 3 kan 4 ▁ndi 4,▁nda 3- ta 3 ba 4 ▁nda 3- ta 3 ba 4 ▁ka 1= na 1 ▁mi '1 4 i 4 ▁ji '4 in (4)= a 2 ▁tan 3 ▁sa 3 kan 4 ▁sa 4- i 1 chi 1= na (1)= e 1 ▁kan 4 ▁tan 3 ▁sa 3 kan 4 ▁ndi 4 ▁i 1 chi 1 ▁ndu 3 chi 4 ▁u 1 bi 1 ▁u 1 ni 1 ▁ki 1 bi 4 ▁i 1 chi (1)= a 1 ▁nda 1 ▁ba 143 ▁ka 4 a 4 ▁ka (1)= e 1 ▁ku 1 xi 3 (2)= a 2 ▁sa 3 kan 4 ▁ta 3 xi 3 ▁kwa '4 a 4= na (2)= e 2 ▁sa 3 kan 4 ▁ndi 4,nda3ta3ba4nda3ta3ba4ka1 na1mi'14i4ji'4in(4) a2tan3sa3kan4sa4i1chi1 na(1) e1kan4tan3sa3kan4ndi4i1chi1ndu3chi4u1bi1u1ni1ki1bi4i1chi(1) a1nda1ba143ka4a4ka(1) e1ku1xi3(2) a2sa3kan4ta3xi3kwa'4a4 na(2) e2sa3kan4ndi4,▁ n d a 3 - t a 3 b a 4 ▁ n d a 3 - t a 3 b a 4 ▁ k a 1 = n a 1 ▁ m i ' 1 4 i 4 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ t a n 3 ▁ s a 3 k a n 4 ▁ s a 4 - i 1 c h i 1 = n a ( 1 ) = e 1 ▁ k a n 4 ▁ t a n 3 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ i 1 c h i 1 ▁ n d u 3 c h i 4 ▁ u 1 b i 1 ▁ u 1 n i 1 ▁ k i 1 b i 4 ▁ i 1 c h i ( 1 ) = a 1 ▁ n d a 1 ▁ b a 1 4 3 ▁ k a 4 a 4 ▁ k a ( 1 ) = e 1 ▁ k u 1 x i 3 ( 2 ) = a 2 ▁ s a 3 k a n 4 ▁ t a 3 x i 3 ▁ k w a ' 4 a 4 = n a ( 2 ) = e 2 ▁ s a 3 k a n 4 ▁ n d i 4
"i3kan4 ba42 ba'1a3=e2 ku3xi(3)=o4 ba'1a3=e2 xi14ko(3)=e4=ya2 ndi4 ti4in4=na(2)=e2 na4, ko4yo3=na(2)=e2 nu14u3 ta'4an(4)=e2 ka4ña(1)=e1 ndi4 ya1 ba'1a3,","▁i 3 kan 4 ▁ba 42 ▁ba '1 a 3= e 2 ▁ku 3 xi (3)= o 4 ▁ba '1 a 3= e 2 ▁xi 14 ko (3)= e 4= ya 2 ▁ndi 4 ▁ti 4 in 4= na (2)= e 2 ▁na 4, ▁ko 4 yo 3= na (2)= e 2 ▁nu 14 u 3 ▁ta '4 an (4)= e 2 ▁ka 4 ña (1)= e 1 ▁ndi 4 ▁ya 1 ▁ba '1 a 3,","▁i 3 kan 4 ▁ba 4 2 ▁ba '1 a 3= e 2 ▁ku 3 xi (3)= o 4 ▁ba '1 a 3= e 2 ▁xi 1 4 ko (3)= e 4= ya 2 ▁ndi 4 ▁ti 4 in 4= na (2)= e 2 ▁na 4, ▁ko 4 yo 3= na (2)= e 2 ▁nu 1 4 u 3 ▁ta '4 an (4)= e 2 ▁ka 4 ña (1)= e 1 ▁ndi 4 ▁ya 1 ▁ba '1 a 3,","i3kan4ba42ba'1a3 e2ku3xi(3) o4ba'1a3 e2xi14ko(3) e4 ya2ndi4ti4in4 na(2) e2na4,ko4yo3 na(2) e2nu14u3ta'4an(4) e2ka4ña(1) e1ndi4ya1ba'1a3,","▁ i 3 k a n 4 ▁ b a 4 2 ▁ b a ' 1 a 3 = e 2 ▁ k u 3 x i ( 3 ) = o 4 ▁ b a ' 1 a 3 = e 2 ▁ x i 1 4 k o ( 3 ) = e 4 = y a 2 ▁ n d i 4 ▁ t i 4 i n 4 = n a ( 2 ) = e 2 ▁ n a 4 , ▁ k o 4 y o 3 = n a ( 2 ) = e 2 ▁ n u 1 4 u 3 ▁ t a ' 4 a n ( 4 ) = e 2 ▁ k a 4 ñ a ( 1 ) = e 1 ▁ n d i 4 ▁ y a 1 ▁ b a ' 1 a 3 ,"
"ya1 ba'1a3 ku3xi(3)=o4 ba42 ba'1a3 xi14ko(3)=e4=ya2 tan3 na4tu2 ni1-ke3ta3 ba'1a3=e2 ji'4in(4)=o4, sa3kan4 i4yo2 ya1 ko4ndo3 ndu3chi4 tu14un3 ka4chi2=o4 ka1a3.","▁ya 1 ▁ba '1 a 3 ▁ku 3 xi (3)= o 4 ▁ba 42 ▁ba '1 a 3 ▁xi 14 ko (3)= e 4= ya 2 ▁tan 3 ▁na 4 tu 2 ▁ni 1- ke 3 ta 3 ▁ba '1 a 3= e 2 ▁ji '4 in (4)= o 4, ▁sa 3 kan 4 ▁i 4 yo 2 ▁ya 1 ▁ko 4 ndo 3 ▁ndu 3 chi 4 ▁tu 14 un 3 ▁ka 4 chi 2= o 4 ▁ka 1 a 3.","▁ya 1 ▁ba '1 a 3 ▁ku 3 xi (3)= o 4 ▁ba 4 2 ▁ba '1 a 3 ▁xi 1 4 ko (3)= e 4= ya 2 ▁tan 3 ▁na 4 tu 2 ▁ni 1- ke 3 ta 3 ▁ba '1 a 3= e 2 ▁ji '4 in (4)= o 4, ▁sa 3 kan 4 ▁i 4 yo 2 ▁ya 1 ▁ko 4 ndo 3 ▁ndu 3 chi 4 ▁tu 1 4 un 3 ▁ka 4 chi 2= o 4 ▁ka 1 a 3.","ya1ba'1a3ku3xi(3) o4ba42ba'1a3xi14ko(3) e4 ya2tan3na4tu2ni1ke3ta3ba'1a3 e2ji'4in(4) o4,sa3kan4i4yo2ya1ko4ndo3ndu3chi4tu14un3ka4chi2 o4ka1a3.","▁ y a 1 ▁ b a ' 1 a 3 ▁ k u 3 x i ( 3 ) = o 4 ▁ b a 4 2 ▁ b a ' 1 a 3 ▁ x i 1 4 k o ( 3 ) = e 4 = y a 2 ▁ t a n 3 ▁ n a 4 t u 2 ▁ n i 1 - k e 3 t a 3 ▁ b a ' 1 a 3 = e 2 ▁ j i ' 4 i n ( 4 ) = o 4 , ▁ s a 3 k a n 4 ▁ i 4 y o 2 ▁ y a 1 ▁ k o 4 n d o 3 ▁ n d u 3 c h i 4 ▁ t u 1 4 u n 3 ▁ k a 4 c h i 2 = o 4 ▁ k a 1 a 3 ."
¿Nda4a2 i3nga2 nu14u3 ndu3chi4 i4yo2?,▁¿ Nda 4 a 2 ▁i 3 nga 2 ▁nu 14 u 3 ▁ndu 3 chi 4 ▁i 4 yo 2?,▁¿ Nda 4 a 2 ▁i 3 nga 2 ▁nu 1 4 u 3 ▁ndu 3 chi 4 ▁i 4 yo 2?,¿Nda4a2i3nga2nu14u3ndu3chi4i4yo2?,▁ ¿ N d a 4 a 2 ▁ i 3 n g a 2 ▁ n u 1 4 u 3 ▁ n d u 3 c h i 4 ▁ i 4 y o 2 ?
"I4yo2 ndu3chi4, ndu3chi4 me4ku2 ran4, ndu3chi4 me4ku2 an4 ndu3chi4 kwa'4a1 ba42 ndi4 ya1 kan4 ku4u4 ndu3chi4, ndu3chi4 ya1 bi3ta42 ka1 so1o4 ba'1a3 ka3xi(4)=o4 ndi3chi2 ka4chi2 mi3i(4)=o4 kan4 ran4.","▁I 4 yo 2 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁ran 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁an 4 ▁ndu 3 chi 4 ▁kwa '4 a 1 ▁ba 42 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ku 4 u 4 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁ya 1 ▁bi 3 ta 42 ▁ka 1 ▁so 1 o 4 ▁ba '1 a 3 ▁ka 3 xi (4)= o 4 ▁ndi 3 chi 2 ▁ka 4 chi 2 ▁mi 3 i (4)= o 4 ▁kan 4 ▁ran 4.","▁I 4 yo 2 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁ran 4, ▁ndu 3 chi 4 ▁me 4 ku 2 ▁an 4 ▁ndu 3 chi 4 ▁kwa '4 a 1 ▁ba 4 2 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ku 4 u 4 ▁ndu 3 chi 4, ▁ndu 3 chi 4 ▁ya 1 ▁bi 3 ta 4 2 ▁ka 1 ▁so 1 o 4 ▁ba '1 a 3 ▁ka 3 xi (4)= o 4 ▁ndi 3 chi 2 ▁ka 4 chi 2 ▁mi 3 i (4)= o 4 ▁kan 4 ▁ran 4.","I4yo2ndu3chi4,ndu3chi4me4ku2ran4,ndu3chi4me4ku2an4ndu3chi4kwa'4a1ba42ndi4ya1kan4ku4u4ndu3chi4,ndu3chi4ya1bi3ta42ka1so1o4ba'1a3ka3xi(4) o4ndi3chi2ka4chi2mi3i(4) o4kan4ran4.","▁ I 4 y o 2 ▁ n d u 3 c h i 4 , ▁ n d u 3 c h i 4 ▁ m e 4 k u 2 ▁ r a n 4 , ▁ n d u 3 c h i 4 ▁ m e 4 k u 2 ▁ a n 4 ▁ n d u 3 c h i 4 ▁ k w a ' 4 a 1 ▁ b a 4 2 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ k u 4 u 4 ▁ n d u 3 c h i 4 , ▁ n d u 3 c h i 4 ▁ y a 1 ▁ b i 3 t a 4 2 ▁ k a 1 ▁ s o 1 o 4 ▁ b a ' 1 a 3 ▁ k a 3 x i ( 4 ) = o 4 ▁ n d i 3 c h i 2 ▁ k a 4 c h i 2 ▁ m i 3 i ( 4 ) = o 4 ▁ k a n 4 ▁ r a n 4 ."
"Ka3xi(4)=o4 ndi3chi(2)=a2 ña1a4 tan3 ndo3ko3o(4)=e4 i3in3, i3in3 sa3ta4 mi4i4 ba42 ya1, ya1 ta'3bi(4)=o4=e2 ya1 ta3xi3 kwa'4a(4)=e4 ko3ndo3 ta3ta2=e4 a1chi1 ndi4","▁Ka 3 xi (4)= o 4 ▁ndi 3 chi (2)= a 2 ▁ña 1 a 4 ▁tan 3 ▁ndo 3 ko 3 o (4)= e 4 ▁i 3 in 3, ▁i 3 in 3 ▁sa 3 ta 4 ▁mi 4 i 4 ▁ba 42 ▁ya 1, ▁ya 1 ▁ta '3 bi (4)= o 4= e 2 ▁ya 1 ▁ta 3 xi 3 ▁kwa '4 a (4)= e 4 ▁ko 3 ndo 3 ▁ta 3 ta 2= e 4 ▁a 1 chi 1 ▁ndi 4","▁Ka 3 xi (4)= o 4 ▁ndi 3 chi (2)= a 2 ▁ña 1 a 4 ▁tan 3 ▁ndo 3 ko 3 o (4)= e 4 ▁i 3 in 3, ▁i 3 in 3 ▁sa 3 ta 4 ▁mi 4 i 4 ▁ba 4 2 ▁ya 1, ▁ya 1 ▁ta '3 bi (4)= o 4= e 2 ▁ya 1 ▁ta 3 xi 3 ▁kwa '4 a (4)= e 4 ▁ko 3 ndo 3 ▁ta 3 ta 2= e 4 ▁a 1 chi 1 ▁ndi 4","Ka3xi(4) o4ndi3chi(2) a2ña1a4tan3ndo3ko3o(4) e4i3in3,i3in3sa3ta4mi4i4ba42ya1,ya1ta'3bi(4) o4 e2ya1ta3xi3kwa'4a(4) e4ko3ndo3ta3ta2 e4a1chi1ndi4","▁ K a 3 x i ( 4 ) = o 4 ▁ n d i 3 c h i ( 2 ) = a 2 ▁ ñ a 1 a 4 ▁ t a n 3 ▁ n d o 3 k o 3 o ( 4 ) = e 4 ▁ i 3 i n 3 , ▁ i 3 i n 3 ▁ s a 3 t a 4 ▁ m i 4 i 4 ▁ b a 4 2 ▁ y a 1 , ▁ y a 1 ▁ t a ' 3 b i ( 4 ) = o 4 = e 2 ▁ y a 1 ▁ t a 3 x i 3 ▁ k w a ' 4 a ( 4 ) = e 4 ▁ k o 3 n d o 3 ▁ t a 3 t a 2 = e 4 ▁ a 1 c h i 1 ▁ n d i 4"
na4 ta4ku1=e4 i3nga2 kwi1ya1 tan3 yo4o4 ku4ni2 chi'3i3 ku4u4 tu3ku(3)=e4 ran4.,▁na 4 ▁ta 4 ku 1= e 4 ▁i 3 nga 2 ▁kwi 1 ya 1 ▁tan 3 ▁yo 4 o 4 ▁ku 4 ni 2 ▁chi '3 i 3 ▁ku 4 u 4 ▁tu 3 ku (3)= e 4 ▁ran 4.,▁na 4 ▁ta 4 ku 1= e 4 ▁i 3 nga 2 ▁kwi 1 ya 1 ▁tan 3 ▁yo 4 o 4 ▁ku 4 ni 2 ▁chi '3 i 3 ▁ku 4 u 4 ▁tu 3 ku (3)= e 4 ▁ran 4.,na4ta4ku1 e4i3nga2kwi1ya1tan3yo4o4ku4ni2chi'3i3ku4u4tu3ku(3) e4ran4.,▁ n a 4 ▁ t a 4 k u 1 = e 4 ▁ i 3 n g a 2 ▁ k w i 1 y a 1 ▁ t a n 3 ▁ y o 4 o 4 ▁ k u 4 n i 2 ▁ c h i ' 3 i 3 ▁ k u 4 u 4 ▁ t u 3 k u ( 3 ) = e 4 ▁ r a n 4 .
